model,id,title,main_picture_medium,main_picture_large,alternative_titles_en,alternative_titles_ja,synopsis,mean,authors,genres,,
book.book,642,Vinland Saga,https://api-cdn.myanimelist.net/images/manga/2/188925.jpg,https://api-cdn.myanimelist.net/images/manga/2/188925l.jpg,Vinland Saga,ヴィンランド・サガ,"Thorfinn, son of one of the Vikings' greatest warriors, is among the finest fighters in the merry band of mercenaries run by the cunning Askeladd, an impressive feat for a person his age. However, Thorfinn is not part of the group for the plunder it entails—instead, for having caused his family great tragedy, the boy has vowed to kill Askeladd in a fair duel. Not yet skilled enough to defeat him, but unable to abandon his vengeance, Thorfinn spends his boyhood with the mercenary crew, honing his skills on the battlefield among the war-loving Danes, where killing is just another pleasure of life.One day, when Askeladd receives word that Danish prince Canute has been taken hostage, he hatches an ambitious plot—one that will decide the next King of England and drastically alter the lives of Thorfinn, Canute, and himself. Set in 11th-century Europe, Vinland Saga tells a bloody epic in an era where violence, madness, and injustice are inescapable, providing a paradise for the battle-crazed and utter hell for the rest who live in it.[Written by MAL Rewrite]",8.98,Makoto Yukimura,"Action, Adventure, Drama, Historical, Seinen",,
book.book,14893,Monogatari Series: First Season,https://api-cdn.myanimelist.net/images/manga/5/173535.jpg,https://api-cdn.myanimelist.net/images/manga/5/173535l.jpg,,〈物語〉シリーズ ファーストシーズン,"This is a story, a ""ghostory"" of sorts, about scars that bond, monsters that haunt, and fakes that deceive.The story of Koyomi Araragi begins through a fateful encounter with the all-powerful, blonde-haired, ""hot-blooded, iron-blooded, and cold-blooded"" vampire, later introduced as Shinobu Oshino. Their tragic rendezvous results in the end of Araragi's life as a human and his subsequent rebirth as a vampire—a monster. However, this encounter is only the start of his meddlings with the supernatural. Koyomi's noble personality ultimately sees him getting further involved in the lives of others with supernatural afflictions. This is his desperate attempt at returning to a normal human life, in a paranormal world filled with nothing but tragedy, suffering, and inhumanity.[Written by MAL Rewrite]This entry includes the first season of the Monogatari Series.",8.95,"ISIN NISIO,  VOFAN","Action, Comedy, Mystery, Romance, Supernatural, Vampire",,
book.book,3,20th Century Boys,https://api-cdn.myanimelist.net/images/manga/1/54437.jpg,https://api-cdn.myanimelist.net/images/manga/1/54437l.jpg,20th Century Boys,20世紀少年,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better.Kenji Endo is a normal convenience store manager who's just trying to get by. But when he learns that one of his old friends going by the name ""Donkey"" has suddenly committed suicide, and that a new cult led by a figure known as ""Friend"" is becoming more notorious, Kenji starts to feel that something isn't right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would be—not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop.Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world.[Written by MAL Rewrite]",8.94,Naoki Urasawa,"Psychological, Sci-Fi, Historical, Mystery, Drama, Seinen",,
book.book,1303,Ashita no Joe,https://api-cdn.myanimelist.net/images/manga/4/75029.jpg,https://api-cdn.myanimelist.net/images/manga/4/75029l.jpg,,あしたのジョー,"Joe Yabuki has learned how to toughen up and stop trusting others after a troubling youth spent bouncing between orphanages and fending off bullies. After finally escaping the cycle of violent temporary homes, Joe adopts a delinquent lifestyle in the streets of San'ya, a slum in Tokyo. He makes his way through the world with his fists, picking fights with anyone he pleases.Danpei Tange, a washed-up and alcoholic former boxing coach, notices Joe's animalistic combat ability and attempts to mentor the wild teenager. Despite developing an explosive relationship, the two form a close bond and rely on each other to look after the other homeless children in San'ya.Unable to abandon his destructive habits, Joe is arrested for petty crimes. In jail, he meets and fights with lifelong friends and rivals, including the boxing prodigy Tooru Rikiishi. Continuously challenging Rikiishi to fights, Joe is knocked out time after time due to his savage brawling style failing in the face of Rikiishi's controlled boxing technique. But eventually, Joe stuns his rival with a knockout blow, earning Rikiishi's respect and the promise that they will one day meet again inside the professional ring.Finding a reason to live within boxing, Joe takes life head-on with a new purpose. As he rises through Japan's amateur and professional boxing scenes, he contends with painful loss and increasing injury. Joe's passion for fighting is all-consuming, and he grapples with the idea that a life without boxing may not be one worth living.[Written by MAL Rewrite]",8.94,"Ikki Kajiwara, Tetsuya Chiba","Drama, Slice of Life, Sports, Shounen",,
book.book,44489,Houseki no Kuni,https://api-cdn.myanimelist.net/images/manga/1/115443.jpg,https://api-cdn.myanimelist.net/images/manga/1/115443l.jpg,Land of the Lustrous,宝石の国,"Long ago, Earth was struck by six meteorites, creating six moons and leaving a lone island in their wake. Those who could not make it to the island sank to the bottom of the ocean, where, over time, they slowly turned to crystal. As countless millennia passed, 28 of these crystallized lifeforms, known as the Lustrous, rose from the depths and resided on the island. Led by the wise Kongou-sensei, they must defend themselves against the seemingly infinite number of Lunarians, inhabitants of the moons who seek to harvest their valuable bodies for crafting weapons and jewelry. Houseki no Kuni centers around Phosphophyllite, a young gem about to turn three hundred years old. Clumsy, extremely fragile, and having no visible talent, they are one of the weakest gems around, unable to help in the fight against the Lunarians in any meaningful way. But as the battle with the otherworldly invaders rages on, they soon learn that power comes at a cost that no one should have to pay.[Written by MAL Rewrite]",8.92,Haruko Ichikawa,"Action, Fantasy, Drama, Seinen",,
book.book,90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://api-cdn.myanimelist.net/images/manga/3/188896.jpg,https://api-cdn.myanimelist.net/images/manga/3/188896l.jpg,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.However, the truth is that after spending so much time together, the two have developed feelings for one another; unfortunately, neither is willing to confess, as doing so would be a sign of weakness. With their pride as elite students on the line, Miyuki and Kaguya embark on a quest to do whatever is necessary to get a confession out of the other. Through their daily antics, the battle of love begins![Written by MAL Rewrite]",8.92,Aka Akasaka,"Romance, Comedy, School, Seinen",,
book.book,1224,3-gatsu no Lion,https://api-cdn.myanimelist.net/images/manga/1/52281.jpg,https://api-cdn.myanimelist.net/images/manga/1/52281l.jpg,March Comes in Like a Lion,3月のライオン,"Rei Kiriyama is an extraordinary shogi player. Among the few elites to have gone professional as a middle school student, he is considered a genius. But what lies behind his prodigious facade is a teenage boy who suffers immense pressure from both his family, and from the high expectations from the shogi community. Rei moves out to live a more independent life away from his family, but his unorganized lifestyle and unsociable personality show no signs of improvement.However, in a twist of fate that will prove to be a turning point in his life, Rei then encounters the Kawamoto sisters—the motherly Akari, the passionate Hinata, and the energetic Momo—who take great care of him. 3-gatsu no Lion tells the story of Rei as he reshapes his melancholic life and picks up the courage to begin facing the problems he evaded during his past.[Written by MAL Rewrite]",8.91,Chika Umino,"Game, Slice of Life, Drama, Seinen",,
book.book,23751,Monogatari Series: Second Season,https://api-cdn.myanimelist.net/images/manga/2/181553.jpg,https://api-cdn.myanimelist.net/images/manga/2/181553l.jpg,,〈物語〉シリーズ セカンドシーズン,"This is a story. A story about choices and consequences, confessions resulting in love and rejection, and decisions leading to sacrifice and tragedy.Koyomi Araragi's decision to save a blonde vampire and meddle with the supernatural resulted in his death as a human and rebirth as a monster. But this was only one of the countless tragedies and choices that Koyomi would be faced with, and he is confronted with the fact that his seemingly unshakeable and hard-earned relationships do not last. As strange oddities continue to manifest in the world around him, he is faced with impossible choices—to sever his ties with those he loves, or eternally remain a part of the world of monsters and apparitions and watch the world crumble as a result. To accept or reject a confession, and sacrifice his all for the sake of others. However, both of these paths could lead to tragedy and farewells.This is a story. A story about Koyomi Araragi coming to realize the consequences of his choices.[Written by MAL Rewrite]This entry includes the second season of the Monogatari Series.",8.9,"ISIN NISIO,  VOFAN","Supernatural, Comedy, Vampire, Mystery, Drama",,
book.book,336,GTO,https://api-cdn.myanimelist.net/images/manga/2/172982.jpg,https://api-cdn.myanimelist.net/images/manga/2/172982l.jpg,GTO: Great Teacher Onizuka,GTO,"22-year-old Eikichi Onizuka: pervert, former gang member... and teacher?Great Teacher Onizuka follows the incredible, though often ridiculous, antics of the titular teacher as he attempts to outwit and win over the cunning Class 3-4 that is determined to have him removed from the school. However, other obstacles present themselves throughout—including the frustrated, balding vice principal, Hiroshi Uchiyamada; old enemies from his biker days; and his own idiotic teaching methods. But Eikichi fights it all whilst trying to help his students, romance fellow teacher Azusa Fuyutsuki, and earn his self-proclaimed title.[Written by MAL Rewrite]Also contains the gaiden ""GTO: Great Toroko Oppai♡"" (Tomoko's Big Adventures).",8.89,Tohru Fujisawa,"Action, Ecchi, Comedy, School, Drama, Shounen",,
book.book,123992,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,https://api-cdn.myanimelist.net/images/manga/3/235363.jpg,https://api-cdn.myanimelist.net/images/manga/3/235363l.jpg,Classroom of the Elite: Year 2,ようこそ実力至上主義の教室へ ２年生編,"As Kiyotaka Ayanokouji and his classmates begin their second-year life, changes are seen everywhere throughout Tokyo Metropolitan Advanced Nurturing High School. With the third-years having graduated and incoming first-years entering the school, alliances are well underway. Additionally, now that Miyabi Nagumo is the student council president, the promise of turning the school into a meritocracy may become a reality.Meanwhile, conflicts between classes continue to build as the class point totals draw close. With another special exam looming ahead, will Ayanokouji remain in the shadows, or will he finally enter the spotlight and help his class rise to the illustrious Class A?[Written by MAL Rewrite]",8.88,"Shunsaku Tomose, Shougo Kinugasa","Drama, Psychological, School",,
book.book,104,Yotsuba to!,https://api-cdn.myanimelist.net/images/manga/3/57369.jpg,https://api-cdn.myanimelist.net/images/manga/3/57369l.jpg,Yotsuba&!,よつばと!,"While most people find the world mundane, five-year-old Yotsuba Koiwai sees it as a treasure trove of amazing bustle and wonderful places to explore. When she and her adoptive father, Yousuke, move to a new city, the energetic young girl naturally sets out to investigate the neighborhood on her own.After a few incidents at the local park, the Koiwais become acquainted with their neighbors, the Ayase family. Their three daughters—mischievous college student Asagi, responsible high school student Fuuka, and kindhearted grade school student Ena—eventually all take a liking to Yotsuba and join in on her antics, despite their sheer ridicule.From learning how to use a swing to figuring out how to stop global warming with air conditioners, Yotsuba's ability to infallibly find fun in everything, both amazes and annoys the people around her. Along with Yousuke, the Ayases, and friends she makes along the way, Yotsuba embarks on daily adventures, each one a step in her quest to enjoy the simple things in life.[Written by MAL Rewrite]",8.86,Kiyohiko Azuma,"Comedy, Slice of Life",,
book.book,89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,https://api-cdn.myanimelist.net/images/manga/2/177958.jpg,https://api-cdn.myanimelist.net/images/manga/2/177958l.jpg,Classroom of the Elite,ようこそ実力至上主義の教室へ,"Receiving funding from the government to nurture the next generation's hopefuls, Tokyo Metropolitan Advanced Nurturing High School brings together the brightest youth of Japan onto a single campus. At this seemingly perfect institution, the reserved Kiyotaka Ayanokouji arrives as an incoming member of class 1-D, where he befriends one of his classmates, the antisocial Suzune Horikita.At first, his peers revel in the academy's leisurely lifestyle, taking advantage of all of its state-of-the-art facilities. Soon enough, however, the facade of Tokyo Metropolitan Advanced Nurturing High School gives way to its true nature—only the top scoring classes can fully utilize the school's offerings, and Class D is the furthest from such a status. Standing at the bottom of the hierarchy, Class D houses all of the school's ""worst"" students.Following this rude awakening, Ayanokouji, Horikita, and the rest of Class D must overcome their differences and clash against other classes in order to climb to the coveted position of Class A by any means necessary.[Written by MAL Rewrite]",8.86,"Shunsaku Tomose, Shougo Kinugasa","Psychological, School, Drama",,
book.book,56805,Koe no Katachi,https://api-cdn.myanimelist.net/images/manga/1/120529.jpg,https://api-cdn.myanimelist.net/images/manga/1/120529l.jpg,A Silent Voice,聲の形,"Shouya Ishida, a mischievous elementary school student, finds himself troubled by deaf transfer student Shouko Nishimiya. Despite her genuine attempts to befriend her new classmates, Shouko only proves herself to be an annoyance for Shouya and his friends, provoking them to ridicule her at any possible chance. Soon enough, their taunts turn into constant assault—yet the teachers heartlessly remain apathetic to the situation.Shouya's misdeeds are finally stopped when Shouko transfers to another school. Denying their involvement, the entire class puts the blame on Shouya. As the new victim of bullying, Shouya gradually becomes meek and reclusive, being treated with contempt and disregard for years to come.Now a high school student, Shouya meets Shouko again for the first time in five years. Still tormented by his past actions, Shouya is determined to make amends for his mistakes and confront his trauma—even if he must face arduous obstacles along the way.[Written by MAL Rewrite]",8.86,Yoshitoki Ooima,"Drama, School, Shounen",,
book.book,657,Real,https://api-cdn.myanimelist.net/images/manga/2/115969.jpg,https://api-cdn.myanimelist.net/images/manga/2/115969l.jpg,Real,リアル,"Tomomi Nomiya, former captain of his high school's basketball team turned delinquent, decides to drop out of school after he is crushed by the guilt of ruining a young girl's life in a traffic accident. As he dedicates his free time to helping her, he stumbles upon Kiyoharu Togawa, a former sprinter who has lost the use of his right leg and now plays wheelchair basketball as an alternate outlet.After challenging Kiyoharu to a one-on-one game, Tomomi is completely defeated. Inspired by this encounter, he realizes that he can't let his love for basketball die so easily and decides that he will do what he can to help others while striving to become a professional player. Meanwhile, Hisanobu Takahashi, Tomomi's replacement as the high school's team captain, gets into an accident and finds himself permanently paralyzed below the waist. Real tells the touching tale of these three young men as they struggle to overcome their disabilities and inner conflicts in order to achieve their dreams while igniting a passion that will bring them together.[Written by MAL Rewrite]",8.85,Takehiko Inoue,"Sports, Psychological, Drama, Seinen",,
book.book,9115,Ookami to Koushinryou,https://api-cdn.myanimelist.net/images/manga/2/153860.jpg,https://api-cdn.myanimelist.net/images/manga/2/153860l.jpg,Spice & Wolf,狼と香辛料,"A young traveling merchant, Kraft Lawrence has become accustomed to days of roaming and trading, with few companions. Or so it was until one peculiar day where the trader finds a young, naked, wolf-like girl asleep in his wagon.The beautiful girl, calling herself Holo, claims to be a local wolf deity worshipped by locals as the God of Good Harvest. Year after year, she ensured they would reap a good harvest, but she has since grown tired of fulfilling the wishes of the ungrateful locals.Holo ends up striking a deal with Kraft: if he helps her escape the villagers, she will gladly help him in his merchant endeavors. Together, they roam from town to town in search of business, and Kraft realizes both the ups and downs of traveling with a haughty and shrewd wolf goddess.[Written by MAL Rewrite]",8.85,"Isuna Hasekura, Juu Ayakura","Adventure, Fantasy, Romance, Supernatural, Historical, Drama",,
book.book,35243,Haikyuu!!,https://api-cdn.myanimelist.net/images/manga/4/89519.jpg,https://api-cdn.myanimelist.net/images/manga/4/89519l.jpg,Haikyu!!,ハイキュー!!,"The whistle blows. The ball is up. A dig. A set. A spike.Volleyball. A sport where two teams face off, separated by a formidable, wall-like net.The ""Little Giant,"" standing at only 170 cm, overcomes the towering net and the wall of blockers. The awe-inspired Shouyou Hinata looks on at the ace's crow-like figure. Determined to reach great heights like the Little Giant, small-statured Hinata finally manages to form a team in his last year of junior high school, and enters his first volleyball tournament. However, his team is utterly defeated in their first game against the powerhouse school Kitagawa Daiichi, led by the genius, but oppressive setter dubbed the ""King of the Court,"" Tobio Kageyama.Hinata enrolls into Karasuno High School seeking  to take revenge against Kageyama in an official high school match and to follow in the Little Giant's footsteps—but his plans are ruined when he opens the gymnasium door to find Kageyama as one of his teammates.Now, Hinata must establish himself on the team and work alongside the problematic Kageyama to overcome his shortcomings and to fulfill his dream of making it to the top of the high school volleyball world.[Written by MAL Rewrite]Included one-shot:Volume 14: Nisekyuu!!",8.84,Haruichi Furudate,"Comedy, Drama, School, Shounen, Sports",,
book.book,21525,Akatsuki no Yona,https://api-cdn.myanimelist.net/images/manga/3/153249.jpg,https://api-cdn.myanimelist.net/images/manga/3/153249l.jpg,Yona of the Dawn,暁のヨナ,"Once upon a time, the kingdom of Kouka was ruled by a red dragon in human form. By his side, four warriors imbued with dragon blood helped him lead the kingdom to prosperity. Time passed, and this tale became a legend to tell children.As the sole princess of Kouka, Yona lives a life of lavish ease. In love with her cousin, Su-won, and protected by her bodyguard, Son Hak, she wants for nothing and remains sheltered from the harrowing reality outside the castle walls. Contrary to this peaceful illusion, Kouka is about to undergo a political upheaval. After her beloved Su-won stages a bloody coup and murders her father, Yona is forced to flee with only Hak by her side.Though surrounded by enemies on all sides, the banished princess still yearns to save her kingdom. Her solution comes from an exiled priest, who tells her that her only hope is to find the four legendary dragon warriors. Guided by this seemingly fictitious myth, Yona sets out to find these warriors, determined to restore her kingdom.[Written by MAL Rewrite]",8.83,Mizuho Kusanagi,"Action, Comedy, Fantasy, Romance, Shoujo",,
book.book,651,Kaze no Tani no Nausicaä,https://api-cdn.myanimelist.net/images/manga/3/156624.jpg,https://api-cdn.myanimelist.net/images/manga/3/156624l.jpg,Nausicaä of the Valley of the Wind,風の谷のナウシカ,"Humanity, once a technologically advanced and thriving civilization, has been pushed to the brink of extinction following a cataclysmic war known as the ""Seven Days of Fire."" The remnants of the human race now live in scattered kingdoms to avoid the unrelenting spread of the ""Sea of Corruption,"" a colossal forest infested with dangerous mutant insects and fungi that produce poisonous spores.Nausicaä, sole heir to the throne of the agricultural kingdom Valley of the Wind, is thrust into a war after an ally kingdom, the imperialist Torumekia, invades the Dorok Empire. Forced to fight alongside the Torumekian military and their cunning princess Kushana, Nausicaä witnesses firsthand the horrors of war and its effect on both humanity and the environment. With her uncanny charisma and gentle nature, Nausicaä may be the only for hope for humanity as the ongoing war and the Sea of Corruption hasten the extinction of mankind.Set against the backdrop of a devastated world, Kaze no Tani no Nausicaä depicts the aftermath of human folly and the immortal power of nature.[Written by MAL Rewrite]",8.83,Hayao Miyazaki,"Action, Adventure, Fantasy, Supernatural",,
